id,user/name,full_text,favorite_count,reply_count,created_at
UgxyejYT3oTH0amDpC94AaABAg,michel ramos,Que dublagem perfeita!,1,0,2022-10-22T22:52:39Z
UgxsKIXUhXfEK4eg53x4AaABAg,Mister Genteboa,Quando ele disse rei dos copa achei que ia aparecer o Pelé,1,0,2022-10-22T01:28:26Z
UgwVv4Xr7xVoM9Wxc9t4AaABAg,Alexis ABC,No manches esta mejor el suyo que el nuestro (mexicano),0,0,2022-10-21T15:59:36Z
UgxCVx2bVXrBsBBIt5h4AaABAg,ScoverPower BR,O dublador do mario no brasil foi mt bom,0,0,2022-10-21T14:40:42Z
UgwZir1YGCQHX85agex4AaABAg,ScoverPower BR,Aqui é o BRASIL🎓,0,0,2022-10-21T14:39:48Z
UgxF7TbNJbvDNWsFWIt4AaABAg,Ivan Lambert,As salas de cinema só vai ter adulto assistindo 🗿🍷,1,1,2022-10-21T05:53:17Z
Ugw5OWUfq4E2R4v5Yoh4AaABAg,Isaque Rocha,É muito interessante isso porque as vozes dos personagens são 100% fiéis às dos jogos originais - é por isso que essa dublagem pode ser chamada de &quot;melhor dublagem do filme do Mario&quot;,0,0,2022-10-21T01:43:21Z
UgzrL88XZAg8mf31jN94AaABAg,Felipe Carvalho,"Vou com muito prazer levar meu filho pra ver esse filme, tá maluco. Minha infância foi jogar nintendinho. Vi que o estúdio do filme é Ilumination, certeza que o filme será legal",0,1,2022-10-20T21:14:48Z
UgyYgy1-NrabktWrOCZ4AaABAg,Fernando Fernandin,"Ok, ficou tudo muito maravilhoso! Mas poxa, o Mario com bunda de tábua eu não tanko. Ele era um baixinho, gordinho e bundudo e agora só tem cabeça. Tão me tirando?",0,0,2022-10-20T16:02:11Z
UgwE2lmPN8ofamrxd0F4AaABAg,Ukas Dubbing,É irônico que o manolo rey dirigiu a dublagem desse trailer ao mesmo tempo que faz a voz do Sonic,0,0,2022-10-20T15:41:26Z
UgwG02gT92CFhqZuRGl4AaABAg,JLF19,eu vou no cinema,0,0,2022-10-19T02:00:08Z
Ugzrtd9j546MFQ4CcQJ4AaABAg,Anhinha Kerol,Eu espero de coração que eles não mudem os dubladores pq tá perfeito,0,0,2022-10-19T01:08:13Z
UgxzyqJMmBaIYDp8we54AaABAg,Felix_play,Mano que coisa tô aqui pensando <br>O sonic não tinha uma anel para ir no reino do 🍄cogumelos?<br><br>Gente só uma conhecidencia,0,0,2022-10-18T23:58:51Z
UgwhDnOgOFffSo8fJ994AaABAg,Edmo Francelino,QUANDO LANÇA ?,0,1,2022-10-18T19:44:49Z
Ugyjomq5O4O42jFt_g14AaABAg,Sr.Uchiha,Se conhece o Mário?,2,1,2022-10-18T16:25:07Z
UgwpwiqJ6aQVlipeqvp4AaABAg,Emanuelle Guimaraes,Aaaah a dublagem de todos os personagens está incrível 😍❤️,3,0,2022-10-17T22:44:01Z
UgwHGSqeD1cLr9kHzVh4AaABAg,Gustavo tono gamer,o novo filme do mario porque ja teve um em 1991 mais ou menos esse ano que era muito ruim agora esse novo parece muito bom,1,0,2022-10-17T20:42:13Z
Ugxf6jJiZg8V1dbgRBp4AaABAg,Violão Para Todos (cad) Funciona?,Esse filme vai ser épicooo,1,0,2022-10-17T20:18:39Z
UgwStTBd01OLBeAhYk94AaABAg,Guilherme gamer ,Convidei todos os meus pais e meu tio para assistir esse filme ano que vem,1,0,2022-10-17T19:00:42Z
UgwYLqUuPLN_bvN9iwd4AaABAg,Jamison L,versão brasileira tá muito bem servida,1,0,2022-10-17T15:24:14Z
UgwRKtofkBFp9nRQXWB4AaABAg,FÃ,"Universal Brasil: Pôr favor não troca os dubladores, porque se não, eu não irei assistir o filme! Continue, com Os três dubladores que foram apresentados no trailer, Principalmente o Raphael Rossatto.",3,0,2022-10-17T12:36:51Z
UgyAqbcMzV9fwuovFhF4AaABAg,Pedroanimados,CARA EU VOU COM CERTEZA VER ESSE FILME,1,0,2022-10-17T11:09:19Z
UgyvXXuiUJZun1ZaeTh4AaABAg,✿CUTE PINK PEARL✿,TE AMO RAFAEL ROSSATO!,1,0,2022-10-17T04:11:43Z
UgxLlyQg_PyXGtCMJBV4AaABAg,KuSoG,QUEM É DISNEY PIXA PERTO DA DREAMWORKS ILLUMINATION?!,1,0,2022-10-17T03:22:43Z
Ugwp7Z2xcvJ8H5XRcOV4AaABAg,Artur 123,pior q ficou legal o marco ribeiro no pinguim,1,0,2022-10-17T02:44:29Z
UgxGcRjltb3gJiGSTU14AaABAg,Syrlei Oliveira,"Universal por favor eu imploro não estrague a dublagem , ela tá perfeita pelo amor de deus.",1,0,2022-10-17T00:14:28Z
UgxqazgdjTwN2OxSvEx4AaABAg,vinicius bogre,"<a href=""https://www.youtube.com/watch?v=wkn-Gb-Fhac&amp;t=0m56s"">0:56</a> o Pablo tá tão crescido que virou rei agr",1,1,2022-10-16T23:50:09Z
UgxOhs6ytdWynTlnW6F4AaABAg,Carlos Pacheco,Até a voz do Magikoopa é da hora,1,0,2022-10-16T21:40:53Z
Ugx6HZHWCLBWH1VM5ht4AaABAg,Joel Cardoso da Silveira,Todos falando apenas da dublagem e ninguém falando da qualidade desse filme!,3,0,2022-10-16T20:43:25Z
UgwMZf2hgh6zT1Us8cF4AaABAg,doqui,Serio gente nos podemos fazer quem nem fizemos com o filme do sonic tipo agente reclamou e mudaram o sonic se agente reclamar ainda mais com o filme do Mario agente consegue fazer eles trocarem pro Charles Martinet na dublagem eu agora faço uma petição pra isso quem concorda com esse comentário responde falando Chris Pratt não charles martinet sim,1,0,2022-10-16T16:11:33Z
UgyckFDR2AzIgTbwEIB4AaABAg,Sand Castle,"Acabei de assistir os trailers em PT de Portugal e o original em inglês, e digo só uma coisa: QUE BELO DIA PRA SER BRASILEIRO, meus amigos!!",4,0,2022-10-16T15:04:01Z
UgwR0loM7wXhsCeSyhV4AaABAg,Reydner Espíndola,Super Mario Bros O Filme 2023,2,0,2022-10-16T02:01:15Z
Ugww_qSTZ8IMr789_mh4AaABAg,Jose valdir,Agora o Toad precisa falar:<br><br>&quot;Você não é ave Maria mas tá cheio de graça 🙏&quot;<br><br>&quot;Todo mundo quer ir para o céu mas ninguém que morrer 🍷🗿&quot;<br><br>&quot;PELO AMOR DE DEUS PARA 😭&quot;<br><br>&quot;Se Deus quiser agora ela cala a boca 🥰&quot;<br><br>&quot;E EU Ô DESGRAÇADO 😠&quot;<br><br>&quot;Vê se fica quieto 🙄💅&quot;,3,1,2022-10-16T00:15:37Z
